SAE Grade,Conditions,UTS (MPa),UTS (Ksi),YS (MPa),YS (ksi),Elongation (%),Reduction (%),Hardness (HB),C (Min),C (Max),Mn (Min),Mn (Max),P (Min),P (Max),S (Min),S(Max),Si (Min),Si (Max),Ni (Min),Ni (Max),Cr (Min),Cr (Max),Mo (Min),Mo (Max),Ti (Min),Ti (Max)
1023,Cold drawn,425,62,360,53,15,40,121,0.2,0.25,0.3,0.6,,0.04,,0.05,,,,,,,,,,
1025,Hot rolled,400,58,220,32,25,50,116,0.22,0.28,0.3,0.6,,0.04,,0.05,,,,,,,,,,
1025,Cold drawn,440,64,370,54,15,40,126,0.22,0.28,0.3,0.6,,0.04,,0.05,,,,,,,,,,
1026,Hot rolled,440,64,240,35,24,49,126,0.22,0.28,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1026,Cold drawn,490,71,415,60,15,40,143,0.22,0.28,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1030,Hot rolled,470,68,260,38,20,42,137,0.28,0.34,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1030,Cold drawn,525,76,440,64,12,35,149,0.28,0.34,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1035,Hot rolled,495,72,270,40,18,40,143,0.32,0.38,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1035,Cold Drawn,550,80,460,67,12,35,163,0.32,0.38,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1037,Hot rolled,510,74,280,41,18,40,143,0.32,0.38,0.7,1,,0.04,,0.05,,,,,,,,,,
1037,Cold Drawn,565,82,475,69,12,35,167,0.32,0.38,0.7,1,,0.04,,0.05,,,,,,,,,,
1038,Hot rolled,515,75,285,41,18,40,149,0.35,0.42,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1038,Cold Drawn,570,83,485,70,12,35,163,0.35,0.42,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1039,Hot rolled,545,79,300,44,16,40,156,0.37,0.44,0.7,1,,0.04,,0.05,,,,,,,,,,
1039,Cold drawn,605,88,510,74,12,35,179,0.37,0.44,0.7,1,,0.04,,0.05,,,,,,,,,,
1040,Hot rolled,525,76,290,42,18,40,149,0.37,0.44,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1040,Cold drawn,585,85,490,71,12,35,170,0.37,0.44,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1042,Hot rolled,550,80,305,44,16,40,163,0.4,0.47,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1042,Cold drawn,615,89,515,75,12,35,179,0.4,0.47,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1042,"Normalized, Cold drawn",585,85,505,73,12,45,179,0.4,0.47,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1043,Hot rolled,565,82,310,45,16,40,163,0.4,0.47,0.7,1,,0.04,,0.05,,,,,,,,,,
1043,Cold drawn,625,91,530,77,12,35,179,0.4,0.47,0.7,1,,0.04,,0.05,,,,,,,,,,
1043,"Normalized, Cold drawn",600,87,515,75,12,45,179,0.4,0.47,0.7,1,,0.04,,0.05,,,,,,,,,,
1044,Hot rolled,550,80,305,44,16,40,163,0.43,0.5,0.3,0.6,,0.04,,0.05,,,,,,,,,,
1045,Hot rolled,565,82,310,45,16,40,163,0.43,0.5,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1045,Cold drawn,625,91,530,77,12,35,179,0.43,0.5,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1045,"Annealed, Cold drawn",585,85,505,73,12,45,170,0.43,0.5,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1046,Hot rolled,585,85,325,47,15,40,170,0.43,0.5,0.7,1,,0.04,,0.05,,,,,,,,,,
1046,Cold drawn,650,94,545,79,12,35,187,0.43,0.5,0.7,1,,0.04,,0.05,,,,,,,,,,
1046,"Annealed, Cold drawn",620,90,515,75,12,45,179,0.43,0.5,0.7,1,,0.04,,0.05,,,,,,,,,,
1049,Hot rolled,600,87,330,48,15,35,179,0.46,0.53,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1049,Cold drawn,670,97,560,82,10,30,197,0.46,0.53,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1049,"Annealed, cold drawn",635,92,530,77,10,40,187,0.46,0.53,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1050,Hot rolled,620,90,340,50,15,35,179,0.48,0.55,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1050,Cold drawn,690,100,580,84,10,30,197,0.48,0.55,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1050,"Annealed, cold drawn",655,95,550,80,10,40,189,0.48,0.55,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1055,Hot rolled,650,94,355,52,12,30,192,0.5,0.6,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1055,"Annealed, cold drawn",660,96,560,81,10,40,197,0.5,0.6,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1060,Hot rolled,675,98,370,54,12,30,201,0.55,0.65,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1060,"Spheroidized annealed, cold drawn",620,90,485,70,10,45,183,0.55,0.65,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1064,Hot rolled,670,97,370,54,12,30,201,0.6,0.7,0.5,0.8,,0.04,,0.05,,,,,,,,,,
1064,"Spheroidized annealed, cold drawn",615,89,475,69,10,45,183,0.6,0.7,0.5,0.8,,0.04,,0.05,,,,,,,,,,
1065,Hot rolled,690,100,380,55,12,30,207,0.6,0.7,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1065,"Spheroidized annealed, cold drawn",635,92,490,71,10,45,187,0.6,0.7,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1070,Hot rolled,705,102,385,56,12,30,212,0.65,0.75,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1070,"Spheroidized annealed, cold drawn",640,93,495,72,10,45,192,0.65,0.75,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1074,Hot rolled,725,105,400,58,12,30,217,0.7,0.8,0.5,0.8,,0.04,,0.05,,,,,,,,,,
1074,"Spheroidized annealed, cold drawn",650,94,505,73,10,40,192,0.7,0.8,0.5,0.8,,0.04,,0.05,,,,,,,,,,
1078,Hot rolled,690,100,380,55,12,30,207,0.72,0.85,0.3,0.6,,0.04,,0.05,,,,,,,,,,
1078,"Spheroidized annealed, cold drawn",650,94,500,73,10,40,192,0.72,0.85,0.3,0.6,,0.04,,0.05,,,,,,,,,,
1080,Hot rolled,770,112,425,62,10,25,229,0.75,0.88,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1080,"Spheroidized annealed, cold drawn",675,98,515,75,10,40,192,0.75,0.88,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1084,Hot rolled,820,119,450,66,10,25,241,0.8,0.93,0.6,0.9,,0.04,,0.05,,,,,,,,,,
1084,"Spheroidized annealed, cold drawn",690,100,530,77,10,40,192,0.8,0.93,0.6,0.9,,0.04,,0.05,,,,,,,,,,
